test,chosen,random,published,chosen_is
2013-01..2013-12,2.4000684371110745,-9.028335602938611,5.409184031483582,13.487450613743633
2014-01..2014-12,-1.4065328401365322,12.239316977602051,3.2650481783332443,16.276439347284818
2015-01..2015-12,-6.0669940144769825,-7.662156946663645,-9.954890868407656,17.677661403580032
2016-01..2016-12,5.882324613244735,0.7029211312182067,9.84763957586166,11.385242933461472
2017-01..2017-12,-0.2819457995993382,6.163573383395686,-3.64796462939259,20.29653590751512
2018-01..2018-12,-4.006913924548189,-4.363171506483338,-2.478138422368853,29.416428067804688
2019-01..2019-12,-2.167349481523519,-7.614750854628246,-5.381266508401844,33.14924724851635
2020-01..2020-12,5.07394963254645,5.453017613984423,4.091694395980374,19.836311715453387
2021-01..2021-12,-1.3815848536049025,2.398581540663278,1.74926946329313,17.79621712218615
2022-01..2022-12,7.140628108623261,9.041516005910546,7.680302943829577,21.27174031063462
2023-01..2023-12,-9.45826516402386,8.73878234937479,-7.509626382114268,32.196840700915715
2024-01..2024-12,-1.5775217911160304,5.280203727317167,11.22579241314166,33.15274671423713
2025-01..2025-12,11.419731481720351,5.674295229189116,1.2679502735737942,47.15086395963569
