quarter,n,pts,total,pf,win,sharpe,block
2023Q1,56,-7.293194117133456,-408.41887055947353,0.7065805944915214,0.48214285714285715,-2.364333531969534,research
2023Q2,45,5.157775854675768,232.09991346040957,1.3869978174174853,0.6,1.6939316949842598,research
2023Q3,47,-6.2785803606820165,-295.0932769520548,0.7165584273283248,0.46808510638297873,-1.5996258301669934,research
2023Q4,57,1.7370548318194623,99.01212541370936,1.108997817823834,0.5614035087719298,0.6026534978768964,research
2024Q1,53,3.297571922151685,174.7713118740393,1.1612895750073788,0.49056603773584906,0.8185010869299076,research
2024Q2,43,-7.54212884213368,-324.31154021174825,0.6593847507084876,0.4186046511627907,-2.0647377076357705,research
2024Q3,52,29.702866443693647,1544.5490550720697,2.594706228578148,0.6346153846153846,4.134206609549242,research
2024Q4,44,5.147887650786875,226.5070566346225,1.3384581041816288,0.5681818181818182,1.6903253195684025,straddles
2025Q1,47,-2.900598375607394,-136.32812365354752,0.9284890863003316,0.5319148936170213,-0.3915994474834918,LOCKED
2025Q2,41,9.246516843274758,379.1071905742651,1.4161548405636186,0.6585365853658537,1.4220920125379408,LOCKED
2025Q3,45,20.199248976983682,908.9662039642657,2.2591959644501967,0.6,3.163662220876667,LOCKED
2025Q4,29,17.91257166817945,519.464578377204,1.8069199149699091,0.6206896551724138,2.8599137247389885,LOCKED
